Gene_symbol	Gene_Entrez_IDs
KIF2C	11004
KIN	22944
KLF16	83855
KNTC1	9735
KPNB1	3837
KRI1	65095
KRR1	11103
KTI12	112970
LAGE3	8270
LAMTOR2	28956
LARS2	23395
LARS	51520
LAS1L	81887
LEMD2	221496
LENG1	79165
LENG8	114823
LIAS	11019
LIN52	91750
LIN7C	55327
LONP1	9361
LRPPRC	10128
LRR1	122769
LSG1	55341
LSM11	134353
LSM4	25804
LSM7	51690
LTV1	84946
LUC7L3	51747
LYRM4	57128
MAD2L2	10459
MAK16	84549
MALSU1	115416
MARS2	92935
MARS	4141
MASTL	84930
MAT2A	4144
MAU2	23383
MCM10	55388
MCM2	4171
MCM3AP	8888
MCM3	4172
MCM4	4173
MCM5	4174
MCM6	4175
MCM7	4176
MCMBP	79892
MDM2	4193
MDN1	23195
MECR	51102
MED11	400569
MED12	9968
MED14	9282
MED17	9440
MED18	54797
MED19	219541
MED1	5469
MED20	9477
MED26	9441
MED27	9442
MED30	90390
MED4	29079
MED6	10001
MED7	9443
MED9	55090
MEPCE	56257
METAP1	23173
METAP2	10988
METTL16	79066
METTL17	64745
METTL1	4234
METTL3	56339
MFAP1	4236
MFN2	9927
MGEA5	10724
MIPEP	4285
MIS18A	54069
MIS18BP1	55320
MLST8	64223
MMS19	64210
MMS22L	253714
MOCS3	27304
MORC2	22880
MPHOSPH10	10199
MPHOSPH8	54737
MRGBP	55257
MROH6	642475
MRP63	78988
MRPL11	65003
MRPL12	6182
MRPL13	28998
MRPL14	64928
MRPL15	29088
MRPL16	54948
MRPL17	63875
MRPL18	29074
MRPL19	9801
MRPL20	55052
MRPL21	219927
MRPL22	29093
MRPL27	51264
MRPL28	10573
MRPL34	64981
MRPL37	51253
MRPL38	64978
MRPL39	54148
MRPL40	64976
MRPL41	64975
MRPL43	84545
MRPL44	65080
MRPL45	84311
MRPL46	26589
MRPL47	57129
MRPL4	51073
MRPL51	51258
MRPL53	116540
MRPL9	65005
MRPS10	55173
MRPS11	64963
MRPS12	6183
MRPS14	63931
MRPS15	64960
MRPS18A	55168
MRPS18B	28973
MRPS18C	51023
MRPS22	56945
MRPS23	51649
MRPS24	64951
MRPS25	64432
MRPS26	64949
MRPS27	23107
MRPS28	28957
MRPS2	51116
MRPS30	10884
MRPS34	65993
MRPS35	60488
MRPS5	64969
MRPS6	64968
MRPS7	51081
MRPS9	64965
MRTO4	51154
MTHFD1	4522
MTIF2	4528
MTOR	2475
MTPAP	55149
MVD	4597
MVK	4598
MYBBP1A	10514
MYBL2	4605
MYC	4609
N6AMT1	29104
NAA10	8260
NAA15	80155
NAA20	51126
NAA25	80018
NAA30	122830
NAA35	60560
NAA38	51691
NAA50	80218
NAE1	8883
NAF1	92345
NAPA	8775
NAPG	8774
NARFL	64428
NARS2	79731
NARS	4677
NAT10	55226
NBAS	51594
NCAPD2	9918
NCAPD3	23310
NCAPG2	54892
NCAPG	64151
NCAPH2	29781
NCAPH	23397
NCBP1	4686
NCBP2	22916
NCKAP1	10787
NCL	4691
NDC80	10403
NDNL2	56160
NDOR1	27158
NDUFA11	126328
NDUFA13	51079
NDUFA2	4695
NDUFAB1	4706
NDUFB5	4711
NDUFB6	4712
NDUFB7	4713
NDUFB8	4714
NDUFC2	4718
NDUFS2	4720
NDUFV1	4723
NEDD1	121441
NELFA	7469
NELFB	25920
NELFCD	51497
NEMF	9147
NFS1	9054
NGDN	25983
NHLRC2	374354
NHP2	55651
NHP2L1	4809
NIP7	51388
NKAP	79576
NLE1	54475
NMT1	4836
NOB1	28987
NOC2L	26155
NOC3L	64318
NOC4L	79050
NOL10	79954
NOL12	79159
NOL6	65083
NOL7	51406
NOL8	55035
NOL9	79707
NOLC1	9221
NOM1	64434
NOP10	55505
NOP14	8602
NOP16	51491
NOP2	4839
NOP56	10528
NOP58	51602
NOP9	161424
NPAT	4863
NPLOC4	55666
NPM3	10360
NR2C2AP	126382
NRBP1	29959
NRDE2	55051
NRF1	4899
NSA2	10412
NSF	4905
NSL1	25936
NSMCE1	197370
NSMCE2	286053
NSMCE4A	54780
NSRP1	84081
NUBP1	4682
NUDCD3	23386
NUDC	10726
NUDT21	11051
NUF2	83540
NUFIP1	26747
NUMA1	4926
NUP107	57122
NUP133	55746
NUP153	9972
NUP155	9631
NUP160	23279
NUP205	23165
NUP214	8021
NUP43	348995
NUP62	23636
NUP85	79902
NUP88	4927
NUP93	9688
NUP98	4928
NUPL1	9818
NVL	4931
NXF1	10482
NXT1	29107
OBFC1	79991
OGDH	4967
OGT	8473
OIP5	11339
OPA1	4976
OR8I2	120586
ORAI3	93129
ORAOV1	220064
ORC1	4998
ORC2	4999
ORC3	23595
ORC4	5000
ORC5	5001
ORC6	23594
OSBP	5007
OSGEP	55644
OXA1L	5018
OXSM	54995
PABPN1	8106
PAF1	54623
PAFAH1B1	5048
PAK1IP1	55003
PARN	5073
PARS2	25973
PAXBP1	94104
PCBP1	5093
PCF11	51585
PCID2	55795
PCNA	5111
PCYT1A	5130
PDCD11	22984
PDCD5	9141
PDCD7	10081
PDCL	5082
PDE4DIP	9659
PDPK1	5170
PDRG1	81572
PELO	53918
PELP1	27043
PES1	23481
PET117	100303755
PEX16	9409
PFAS	5198
PFDN1	5201
PFDN2	5202
PFDN6	10471
PGD	5226
PGGT1B	5229
PGK1	5230
PGLS	25796
PGM3	5238
PGS1	9489
PHAX	51808
PHB2	11331
PHB	5245
PI4KA	5297
PIGS	94005
PIGV	55650
PIK3C3	5289
PISD	23761
PKM	5315
PKMYT1	9088
PLK1	5347
PLK4	10733
PLRG1	5356
PMF1	11243
PMPCA	23203
PMPCB	9512
PMVK	10654
PNISR	25957
PNKP	11284
PNN	5411
PNO1	56902
PNPT1	87178
POLA1	5422
POLA2	23649
POLD1	5424
POLD2	5425
POLD3	10714
